Language Name	Population (LP)	Internet Population (IPop)	Economy (PPPGDP)	Internet addresses (IPv4)	dummy	LP_ranked	IPop_ranked	PPPGDP_ranked	IPv4_ranked	including regions ...	geos_OBOR
English	1472.52	719.34	34772.16	2143.38	True	1.00	1.00	1.00	1.00	[HK, CN, MO, IN, PH, EG, BD, TH, TR, PL, IQ, IL, RO, MY, SG, JO, CZ, KZ, YE, HR, HU, BG, LB, BA, SK, SI, LT, BT, BN, US, PK, NG, GB, DE, ET, TZ, CA, FR, AU, SD, IT, ZA, BR, MX, NL, ES, MW, CM, SE, KE, BE, AT, GR, ZW, GH, CH, DK, IE, MA, NZ, MG, FI, ER, PG, LR, SS, AR, PT, JM, DZ, ZM, SL, LK, BW, CL, RW, UG, TT, MU, SZ, NP, FJ, GY, GM, CY, SB, PA, LS, MT, BS, BZ, BB, VU, NA, LC, KI, VC, GD, AG, DM, FM, KN, MH, HN, SC, TO, DO, WS, PW, TV, AC, AI, AS, AW, BM, CC, CK, CX, DG, FK, GG, GI, GU, IM, IO, JE, KY, MP, MS, NF, NR, NU, PM, PN, PR, SH, SX, TA, TC, TK, UM, VG, VI]	[IN, PH, EG, BD, TH, TR, PL, IQ, IL, RO, MY, SG, JO, CZ, KZ, YE, HR, HU, BG, LB, BA, SK, SI, LT, BT, BN]
Chinese (Simplified)	1229.24	564.22	14881.13	304.15	True	2.00	2.00	2.00	2.00	[CN, HK, MO, SG, MN]	[SG, MN]
Hindi	511.34	77.65	2794.70	15.52	True	3.00	10.00	10.00	20.00	[IN, ZA, FJ, NP, UG]	[IN]
Spanish	431.72	221.50	8493.68	280.87	True	4.00	3.00	3.00	3.00	[PH, MX, ES, CO, AR, US, VE, PE, CL, EC, GT, DO, BO, HN, SV, DE, NI, CR, UY, PA, GQ, PY, BZ, MA, TT, AD, CU, CW, EA, IC, PR, SX]	[PH]
Arabic	275.60	110.37	5068.82	41.81	True	5.00	4.00	4.00	13.00	[EG, SA, IQ, YE, AE, JO, KW, LB, OM, QA, IL, IR, BH, TR, TJ, PS, SY, DZ, SD, MA, TN, LY, MR, SS, TD, KM, ER, ML, NG, CM, DJ, NE, KE, CY, EH, SO]	[EG, SA, IQ, YE, AE, JO, KW, LB, OM, QA, IL, IR, BH, TR, TJ, PS, SY]
Bengali	254.63	25.57	1050.55	4.80	True	6.00	20.00	18.00	47.00	[BD, IN, GB, NP]	[BD, IN]
Urdu	235.69	28.32	1133.28	6.88	True	7.00	17.00	17.00	39.00	[IN, PK, MU]	[IN]
Portuguese	217.71	104.61	3162.03	81.85	True	8.00	6.00	9.00	8.00	[MO, TL, BR, AO, PT, MZ, GW, FR, CV, ST, AG]	[TL]
French	214.52	92.41	4459.03	159.61	True	9.00	8.00	5.00	5.00	[LB, SY, FR, MG, CM, DE, CI, TN, ML, CA, DZ, MA, SN, BI, NE, BE, TG, IT, BF, BJ, CG, GN, CD, TD, CF, US, CH, GA, MR, HT, LU, KM, VU, GQ, SC, MU, DJ, GB, RW, AD, BL, GF, GP, MC, MF, MQ, NC, PF, PM, RE, TF, WF, YT]	[LB, SY]
Russian	185.82	107.92	4125.90	64.79	True	10.00	5.00	7.00	11.00	[CN, RU, UA, KZ, UZ, KG, BY, TJ, IL, LV, TM, GE, EE, LT, MD, MN, DE, US, FI, SJ]	[RU, UA, KZ, UZ, KG, BY, TJ, IL, LV, TM, GE, EE, LT, MD, MN]
Indonesian	158.99	25.39	1542.97	12.15	True	11.00	21.00	14.00	24.00	[ID, NL]	[ID]
Swahili	135.37	17.91	231.08	3.55	True	12.00	26.00	58.00	53.00	[TZ, CD, UG, KE, MZ, BI, ZA, SO, YT]	
Punjabi (Arabic)	127.81	13.93	584.55	3.66	True	13.00	31.00	25.00	52.00	[PK]	
Japanese	121.40	104.56	4440.50	192.69	True	14.00	7.00	6.00	4.00	[JP, BR]	
German	94.63	78.10	4117.17	147.75	True	15.00	9.00	8.00	6.00	[KZ, HU, CZ, RO, PL, SK, DE, AT, CH, BR, US, IT, CA, LU, PY, BE, DK, NA, LI]	[KZ, HU, CZ, RO, PL, SK]
Telugu	89.52	13.52	487.87	2.62	True	16.00	33.00	27.00	64.00	[IN]	[IN]
Marathi	87.03	13.14	474.32	2.55	True	17.00	35.00	28.00	66.00	[IN]	[IN]
Javanese	84.66	13.58	820.57	6.09	True	18.00	32.00	22.00	42.00	[ID, MY]	[ID, MY]
Wu Chinese	81.65	37.39	968.95	19.93	True	19.00	13.00	20.00	16.00	[CN]	
Vietnamese	78.22	34.77	465.55	18.88	True	20.00	15.00	31.00	18.00	[CN, VN, US]	[VN]
Tamil	77.88	12.70	468.33	2.71	True	21.00	37.00	29.00	61.00	[IN, MY, SG, LK, MU, RE]	[IN, MY, SG]
Persian	75.01	19.56	1017.78	8.57	True	22.00	24.00	19.00	29.00	[IR, AF, IQ, QA, AE, TJ, OM, PK]	[IR, AF, IQ, QA, AE, TJ, OM]
Turkish	75.00	35.64	1466.21	19.60	True	23.00	14.00	15.00	17.00	[TR, BG, UZ, UA, MK, RO, DE, CY, NL, GR]	[TR, BG, UZ, UA, MK, RO]
Lahnda	73.07	7.97	334.20	2.09	True	24.00	50.00	39.00	77.00	[IN, PK]	[IN]
Italian	66.86	41.49	2368.19	69.77	True	25.00	12.00	11.00	10.00	[HR, SI, IT, DE, FR, US, CA, BR, AU, CH, GB, SM, VA]	[HR, SI]
Filipino	59.82	22.76	456.27	9.95	True	26.00	23.00	32.00	27.00	[PH, US]	[PH]
Gujarati	55.95	8.45	304.93	1.64	True	27.00	46.00	43.00	89.00	[IN, KE]	[IN]
Thai	54.58	15.80	771.60	6.92	True	28.00	29.00	23.00	38.00	[TH]	[TH]
Korean	53.91	44.90	1796.43	118.69	True	29.00	11.00	12.00	7.00	[CN, KR, US, JP, BR, KP]	
Egyptian Arabic	53.57	26.55	582.27	8.02	True	30.00	19.00	26.00	31.00	[EG]	[EG]
Kannada	46.00	6.95	250.71	1.35	True	31.00	53.00	56.00	95.00	[IN]	[IN]
Chinese (Traditional)	42.35	30.23	1606.32	59.79	True	32.00	16.00	13.00	12.00	[HK, MO, MY, ID, TH, VN, PH, BN, TW, US, AU, GB, SR, PA, GF, PF]	[MY, ID, TH, VN, PH, BN]
Pashto	40.91	4.03	169.07	0.98	True	33.00	81.00	66.00	106.00	[AF, AE, IR, PK]	[AF, AE, IR]
Malayalam	40.55	6.67	262.50	1.52	True	34.00	54.00	52.00	92.00	[IN, AE, MY, BH, SG, IL, QA, GB]	[IN, AE, MY, BH, SG, IL, QA]
Oriya	39.79	6.01	216.83	1.16	True	35.00	58.00	59.00	100.00	[IN]	[IN]
Xiang Chinese	39.46	18.07	468.32	9.63	True	36.00	25.00	30.00	28.00	[CN]	
Polish	38.54	24.06	887.17	20.67	True	37.00	22.00	21.00	15.00	[PL, UA, IL, CZ, SK, RO, DE]	[PL, UA, IL, CZ, SK, RO]
Nigerian Pidgin	35.55	13.51	204.26	0.45	True	38.00	34.00	64.00	160.00	[NG]	
Punjabi (Gurmukhi)	35.34	5.72	208.81	2.01	True	39.00	63.00	63.00	81.00	[IN, SG, GB, KE]	[IN, SG]
Burmese	32.96	0.41	142.79	0.03	True	40.00	232.00	73.00	382.00	[MM, BD]	[MM, BD]
Algerian Arabic	31.46	5.19	433.73	3.08	True	41.00	66.00	33.00	59.00	[DZ]	
Hakka Chinese	31.30	14.33	371.43	7.64	True	42.00	30.00	36.00	33.00	[CN]	
Bhojpuri	30.84	4.71	166.11	1.36	True	43.00	72.00	67.00	94.00	[IN, NP, MU]	[IN]
Dutch	30.79	27.19	1357.87	73.23	True	44.00	18.00	16.00	9.00	[NL, DE, BE, SR, FR, AW, BQ, CW, SX]	
Ukrainian	30.24	12.75	263.69	8.02	True	45.00	36.00	51.00	32.00	[UA, MD, PL, SK, RS]	[UA, MD, PL, SK, RS]
Sundanese	29.75	4.71	286.67	2.12	True	46.00	71.00	47.00	76.00	[ID]	[ID]
Amharic	29.37	0.59	43.35	0.08	True	47.00	199.00	136.00	288.00	[IL, ET]	[IL]
Hausa (Latin)	29.04	8.51	134.04	0.30	True	48.00	45.00	76.00	183.00	[NG, NE, GH]	
Oromo	28.63	0.62	41.15	0.05	True	49.00	194.00	141.00	333.00	[ET, KE, SO]	
Moroccan Arabic	28.58	16.01	210.26	5.63	True	50.00	27.00	62.00	45.00	[MA]	
Uzbek (Latin)	26.22	9.87	139.68	0.20	True	51.00	41.00	74.00	208.00	[UZ, TM, TR]	[UZ, TM, TR]
Min Nan Chinese	25.85	11.84	306.83	6.31	True	52.00	38.00	42.00	41.00	[CN]	
Sindhi (Arabic)	25.14	2.88	117.83	0.72	True	53.00	92.00	84.00	125.00	[IN, PK]	[IN]
Awadhi	24.23	3.65	130.12	0.70	True	54.00	86.00	78.00	127.00	[IN, NP]	[IN]
Malay (Latin)	23.59	15.84	607.62	5.99	True	55.00	28.00	24.00	43.00	[MY, SG, BN]	[MY, SG, BN]
Cebuano	23.40	8.66	154.34	1.30	True	56.00	44.00	69.00	96.00	[PH]	[PH]
Gan Chinese	23.13	10.59	274.53	5.65	True	57.00	40.00	50.00	44.00	[CN]	
Yoruba	22.70	8.40	127.68	0.28	True	58.00	47.00	80.00	189.00	[NG, BJ]	
Romanian	22.18	11.08	360.30	10.42	True	59.00	39.00	37.00	26.00	[RO, MD, IL, UA, RS, HU]	[RO, MD, IL, UA, RS, HU]
Igbo	22.01	8.36	126.44	0.28	True	60.00	48.00	81.00	191.00	[NG]	
Malagasy	20.67	0.45	28.90	0.15	True	61.00	223.00	163.00	232.00	[MG]	
Nepali	19.32	2.72	66.32	0.43	True	62.00	95.00	112.00	166.00	[IN, BT, NP]	[IN, BT]
South Azerbaijani	18.47	5.80	298.64	2.65	True	63.00	60.00	44.00	62.00	[IR]	[IR]
Azerbaijani (Arabic)	18.47	5.80	298.64	2.65	True	63.00	60.00	44.00	62.00	[IR]	[IR]
Maithili	17.98	2.66	88.18	0.49	True	65.00	96.00	96.00	154.00	[IN, NP]	[IN]
Saraiki	16.62	1.81	75.99	0.48	True	66.00	118.00	106.00	156.00	[PK]	
Northeastern Thai	16.37	4.74	231.48	2.08	True	67.00	70.00	57.00	78.00	[TH]	[TH]
Assamese	16.16	2.44	88.09	0.47	True	68.00	102.00	97.00	157.00	[IN]	[IN]
Rangpuri	15.65	1.49	62.06	0.23	True	69.00	133.00	119.00	200.00	[BD, IN]	[BD, IN]
Madurese	15.62	2.47	150.50	1.11	True	70.00	101.00	71.00	102.00	[ID]	[ID]
Magahi	14.92	2.25	81.31	0.44	True	72.00	107.00	101.00	162.00	[IN]	[IN]
Marwari	14.92	2.25	81.31	0.44	True	72.00	107.00	101.00	162.00	[IN]	[IN]
Haryanvi	14.92	2.25	81.31	0.44	True	72.00	107.00	101.00	162.00	[IN]	[IN]
Sinhala	14.16	3.10	135.69	0.37	True	74.00	90.00	75.00	174.00	[LK]	
Nyanja	13.88	1.00	17.81	0.24	True	75.00	158.00	208.00	198.00	[MW, ZM, MZ, ZW]	
Chhattisgarhi	13.68	2.07	74.54	0.40	True	76.00	111.00	108.00	169.00	[IN]	[IN]
Khmer	13.43	0.81	41.04	0.22	True	77.00	178.00	142.00	202.00	[KH]	[KH]
Zulu	13.12	6.25	160.38	6.36	True	78.00	57.00	68.00	40.00	[ZA, LS, SZ, MW, MZ]	
Hungarian	12.50	8.67	279.52	7.12	True	79.00	43.00	49.00	37.00	[HU, RO, SK, RS, UA, IL, SI, AT]	[HU, RO, SK, RS, UA, IL, SI]
Deccan	12.31	1.86	67.08	0.36	True	80.00	116.00	111.00	176.00	[IN]	[IN]
Greek	12.28	7.52	317.46	7.55	True	81.00	52.00	41.00	35.00	[AL, EG, UA, RO, TR, GR, CY, DE, GB, IT]	[AL, EG, UA, RO, TR]
Malay (Arabic)	11.43	1.82	111.39	0.82	True	82.00	117.00	85.00	119.00	[ID, BN, CC]	[ID, BN]
Nigerian Fulfulde	11.34	4.31	65.17	0.14	True	83.00	75.00	113.00	240.00	[NG]	
Kazakh (Cyrillic)	10.99	5.93	253.10	1.78	True	84.00	59.00	55.00	86.00	[KZ, TR]	[KZ, TR]
Quechua	10.86	4.30	103.83	1.27	True	85.00	76.00	89.00	97.00	[PE, BO, EC]	
Shona	10.62	1.97	20.76	0.07	True	86.00	113.00	193.00	297.00	[ZW]	
Czech	10.31	7.64	281.83	8.44	True	87.00	51.00	48.00	30.00	[CZ]	[CZ]
Belarusian	10.06	5.42	175.25	2.06	True	88.00	65.00	65.00	79.00	[BY, UA, PL]	[BY, UA, PL]
Akan	9.97	1.23	40.16	0.19	True	89.00	142.00	144.00	213.00	[GH]	
Sorani Kurdish	9.96	1.58	148.45	0.55	True	90.00	128.00	72.00	147.00	[IQ, IR]	[IQ, IR]
Wolof	9.90	2.07	22.21	0.16	True	91.00	110.00	182.00	227.00	[SN, MR]	
Low German	9.83	8.27	427.77	14.80	True	92.00	49.00	34.00	21.00	[DE, NL]	
