Language Name,Population (LP),Internet Population (IPop),Economy (PPPGDP),Internet addresses (IPv4),Ranking (LP),Ranking (IPop),Ranking (PPPGDP),Ranking (IPv4),including regions ...
English,461.03,125.76,4406.65,54.02,2,1,1,1,"[IN, PH, EG, BD, TH, TR, PL, IQ, IL, RO, MY, SG, JO, CZ, KZ, YE, HR, HU, BG, LB, BA, SK, SI, LT, BT, BN]"
Arabic,182.66,84.20,4213.69,30.72,4,3,2,3,"[EG, SA, IQ, YE, AE, JO, KW, LB, OM, QA, IL, IR, BH, TR, TJ, PS, SY]"
Russian,180.16,103.17,3872.96,53.63,5,2,3,2,"[RU, UA, KZ, UZ, KG, BY, TJ, IL, LV, TM, GE, EE, LT, MD, MN]"
Hindi,509.77,76.98,2778.15,14.93,1,4,4,6,[IN]
Indonesian,158.69,25.10,1528.93,11.31,6,9,5,8,[ID]
Turkish,72.45,33.55,1359.87,15.72,13,6,6,5,"[TR, BG, UZ, UA, MK, RO]"
Bengali,254.17,25.18,1034.95,3.97,3,8,7,21,"[BD, IN]"
Persian,73.81,19.43,1012.27,8.54,12,12,8,10,"[IR, AF, IQ, QA, AE, TJ, OM]"
Polish,38.30,23.87,876.99,20.32,22,10,9,4,"[PL, UA, IL, CZ, SK, RO]"
Javanese,84.66,13.58,820.57,6.09,9,15,10,17,"[ID, MY]"
Thai,54.58,15.80,771.60,6.92,17,14,11,16,[TH]
Malay (Latin),23.59,15.84,607.62,5.99,31,13,12,18,"[MY, SG, BN]"
Egyptian Arabic,53.57,26.55,582.27,8.02,18,7,13,12,[EG]
Telugu,89.52,13.52,487.87,2.62,7,16,14,25,[IN]
Marathi,87.03,13.14,474.32,2.55,8,17,15,27,[IN]
Tamil,74.73,12.00,437.84,2.55,11,19,16,26,"[IN, MY, SG]"
Vietnamese,77.13,33.86,408.46,13.45,10,5,17,7,[VN]
Filipino,58.49,21.64,385.85,3.24,15,11,18,22,[PH]
Romanian,22.18,11.08,360.30,10.42,33,21,19,9,"[RO, MD, IL, UA, RS, HU]"
Urdu,62.17,9.39,338.80,1.82,14,23,20,37,[IN]
